3.94737s 2 RttEstimator:Measurement(0x7faf0a4711e0, +110975976.0ns)
3.95661s 2 RttEstimator:Measurement(0x7faf0a4711e0, +110975976.0ns)
3.96586s 2 RttEstimator:Measurement(0x7faf0a4711e0, +120223974.0ns)
3.97511s 2 RttEstimator:Measurement(0x7faf0a4711e0, +120223974.0ns)
3.98436s 2 RttEstimator:Measurement(0x7faf0a4711e0, +120223974.0ns)
3.99361s 2 RttEstimator:Measurement(0x7faf0a4711e0, +129471972.0ns)
4.00285s 2 RttEstimator:Measurement(0x7faf0a4711e0, +129471972.0ns)
4.0121s 2 RttEstimator:Measurement(0x7faf0a4711e0, +129471972.0ns)
4.02135s 2 RttEstimator:Measurement(0x7faf0a4711e0, +138719970.0ns)
4.0306s 2 RttEstimator:Measurement(0x7faf0a4711e0, +138719970.0ns)
4.03985s 2 RttEstimator:Measurement(0x7faf0a4711e0, +138719970.0ns)
4.04909s 2 RttEstimator:Measurement(0x7faf0a4711e0, +147967968.0ns)
4.05834s 2 RttEstimator:Measurement(0x7faf0a4711e0, +147967968.0ns)
4.06759s 2 RttEstimator:Measurement(0x7faf0a4711e0, +147967968.0ns)
4.07684s 2 RttEstimator:Measurement(0x7faf0a4711e0, +157215966.0ns)
4.08609s 2 RttEstimator:Measurement(0x7faf0a4711e0, +157215966.0ns)
4.09533s 2 RttEstimator:Measurement(0x7faf0a4711e0, +157215966.0ns)
4.10458s 2 RttEstimator:Measurement(0x7faf0a4711e0, +166463964.0ns)
4.11383s 2 RttEstimator:Measurement(0x7faf0a4711e0, +166463964.0ns)
4.12308s 2 RttEstimator:Measurement(0x7faf0a4711e0, +166463964.0ns)
4.13233s 2 RttEstimator:Measurement(0x7faf0a4711e0, +175711962.0ns)
4.14157s 2 RttEstimator:Measurement(0x7faf0a4711e0, +175711962.0ns)
4.15082s 2 RttEstimator:Measurement(0x7faf0a4711e0, +175711962.0ns)
4.16007s 2 RttEstimator:Measurement(0x7faf0a4711e0, +184959960.0ns)
4.16932s 2 RttEstimator:Measurement(0x7faf0a4711e0, +184959960.0ns)
4.17857s 2 RttEstimator:Measurement(0x7faf0a4711e0, +184959960.0ns)
4.18781s 2 RttEstimator:Measurement(0x7faf0a4711e0, +194207958.0ns)
4.19706s 2 RttEstimator:Measurement(0x7faf0a4711e0, +194207958.0ns)
4.20631s 2 RttEstimator:Measurement(0x7faf0a4711e0, +194207958.0ns)
4.21556s 2 RttEstimator:Measurement(0x7faf0a4711e0, +203455956.0ns)
4.22481s 2 RttEstimator:Measurement(0x7faf0a4711e0, +203455956.0ns)
4.23405s 2 RttEstimator:Measurement(0x7faf0a4711e0, +203455956.0ns)
4.2433s 2 RttEstimator:Measurement(0x7faf0a4711e0, +212703954.0ns)
4.25255s 2 RttEstimator:Measurement(0x7faf0a4711e0, +212703954.0ns)
4.2618s 2 RttEstimator:Measurement(0x7faf0a4711e0, +212703954.0ns)
4.27105s 2 RttEstimator:Measurement(0x7faf0a4711e0, +221951952.0ns)
4.28029s 2 RttEstimator:Measurement(0x7faf0a4711e0, +221951952.0ns)
4.28954s 2 RttEstimator:Measurement(0x7faf0a4711e0, +221951952.0ns)
4.29879s 2 RttEstimator:Measurement(0x7faf0a4711e0, +231199950.0ns)
4.30804s 2 RttEstimator:Measurement(0x7faf0a4711e0, +231199950.0ns)
4.31729s 2 RttEstimator:Measurement(0x7faf0a4711e0, +231199950.0ns)
4.32653s 2 RttEstimator:Measurement(0x7faf0a4711e0, +240447948.0ns)
4.33578s 2 RttEstimator:Measurement(0x7faf0a4711e0, +240447948.0ns)
4.34503s 2 RttEstimator:Measurement(0x7faf0a4711e0, +240447948.0ns)
4.35428s 2 RttEstimator:Measurement(0x7faf0a4711e0, +249695946.0ns)
4.36353s 2 RttEstimator:Measurement(0x7faf0a4711e0, +249695946.0ns)
4.37277s 2 RttEstimator:Measurement(0x7faf0a4711e0, +249695946.0ns)
4.38202s 2 RttEstimator:Measurement(0x7faf0a4711e0, +258943944.0ns)
4.39127s 2 RttEstimator:Measurement(0x7faf0a4711e0, +258943944.0ns)
4.40052s 2 RttEstimator:Measurement(0x7faf0a4711e0, +258943944.0ns)
4.40977s 2 RttEstimator:Measurement(0x7faf0a4711e0, +268191942.0ns)
4.41901s 2 RttEstimator:Measurement(0x7faf0a4711e0, +268191942.0ns)
4.42826s 2 RttEstimator:Measurement(0x7faf0a4711e0, +268191942.0ns)
4.43751s 2 RttEstimator:Measurement(0x7faf0a4711e0, +277439940.0ns)
4.44676s 2 RttEstimator:Measurement(0x7faf0a4711e0, +277439940.0ns)
4.45601s 2 RttEstimator:Measurement(0x7faf0a4711e0, +277439940.0ns)
4.46525s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.4745s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.48375s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.493s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.50225s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.51149s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.52074s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.52999s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.53924s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.54849s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.55773s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
