% time	cellId	IMSI	RNTI	sinrLinear
26.241	1	1	1	156.377
26.281	1	1	1	6.68501
26.321	1	1	1	70.5786
26.361	1	1	1	22.1803
26.401	1	1	1	26.1575
26.441	1	1	1	110.094
26.481	1	1	1	108.175
26.521	1	1	1	17.528
26.561	1	1	1	22.9881
26.601	1	1	1	43.7932
26.641	1	1	1	52.0808
26.681	1	1	1	24.6824
26.721	1	1	1	33.3175
26.761	1	1	1	38.0773
26.801	1	1	1	18.7012
26.841	1	1	1	22.5039
26.881	1	1	1	14.8393
26.921	1	1	1	8.86308
26.961	1	1	1	38.4318
27.001	1	1	1	74.7375
27.041	1	1	1	60.4925
27.081	1	1	1	33.1334
27.121	1	1	1	109.105
27.161	1	1	1	37.9896
27.201	1	1	1	29.4537
27.241	1	1	1	100.614
27.281	1	1	1	43.8645
27.321	1	1	1	34.3801
27.361	1	1	1	57.9919
27.401	1	1	1	44.1488
27.441	1	1	1	34.3314
27.481	1	1	1	35.2425
27.521	1	1	1	38.2612
27.561	1	1	1	22.0867
27.601	1	1	1	7.34218
27.641	1	1	1	9.76763
27.681	1	1	1	29.3024
27.721	1	1	1	25.0287
27.761	1	1	1	3.77324
27.801	1	1	1	1.39439
27.841	1	1	1	4.62427
27.881	1	1	1	31.3259
27.921	1	1	1	26.3587
27.961	1	1	1	2.37497
28.001	1	1	1	4.21867
28.041	1	1	1	13.9008
28.081	1	1	1	8.30907
28.121	1	1	1	1.46002
28.161	1	1	1	1.47456
28.201	1	1	1	34.9855
28.241	1	1	1	80.5696
28.281	1	1	1	83.2928
28.321	1	1	1	98.4862
28.361	1	1	1	45.3129
28.401	1	1	1	16.8872
28.441	1	1	1	44.4305
28.481	1	1	1	6.68738
28.521	1	1	1	4.49301
28.561	1	1	1	5.47737
28.601	1	1	1	5.82501
28.641	1	1	1	3.58729
28.681	1	1	1	2.65416
28.721	1	1	1	11.1969
28.761	1	1	1	20.7059
28.801	1	1	1	22.5917
28.841	1	1	1	9.67772
28.881	1	1	1	8.06849
28.921	1	1	1	37.9103
28.961	1	1	1	18.7533
29.001	1	1	1	15.2043
29.041	1	1	1	10.386
29.081	1	1	1	10.9052
29.121	1	1	1	28.1986
29.161	1	1	1	27.114
29.201	1	1	1	7.91981
29.241	1	1	1	23.4995
29.281	1	1	1	73.9833
29.321	1	1	1	98.5939
29.361	1	1	1	44.3031
29.401	1	1	1	7.48
29.441	1	1	1	20.0793
29.481	1	1	1	52.2843
29.521	1	1	1	60.3814
29.561	1	1	1	17.1761
29.601	1	1	1	27.1
29.641	1	1	1	42.2399
29.681	1	1	1	14.0642
29.721	1	1	1	18.1814
29.761	1	1	1	7.42663
29.801	1	1	1	50.4519
29.841	1	1	1	71.6241
29.881	1	1	1	24.7794
29.921	1	1	1	15.6774
29.961	1	1	1	48.9134
30.001	1	1	1	88.5492
30.041	1	1	1	45.9957
30.081	1	1	1	14.9987
30.121	1	1	1	85.7318
30.161	1	1	1	101.867
30.201	1	1	1	85.9639
30.241	1	1	1	69.6078
30.281	1	1	1	7.43987
30.321	1	1	1	59.3347
30.361	1	1	1	128.077
30.401	1	1	1	74.776
30.441	1	1	1	48.2682
30.481	1	1	1	38.6905
30.521	1	1	1	15.0512
30.561	1	1	1	80.5702
30.601	1	1	1	18.2043
30.641	1	1	1	47.7091
30.681	1	1	1	110.462
30.721	1	1	1	20.0281
30.761	1	1	1	11.9254
30.801	1	1	1	18.7371
30.841	1	1	1	18.9041
30.881	1	1	1	96.8839
30.921	1	1	1	92.1837
30.961	1	1	1	26.8642
31.001	1	1	1	6.18733
31.041	1	1	1	11.1819
31.081	1	1	1	30.9448
31.121	1	1	1	22.2365
31.161	1	1	1	11.4623
31.201	1	1	1	39.2522
31.241	1	1	1	22.159
31.281	1	1	1	7.08255
31.321	1	1	1	26.3001
31.361	1	1	1	10.1069
31.401	1	1	1	10.0129
31.441	1	1	1	16.5812
31.481	1	1	1	16.2103
31.521	1	1	1	50.4423
31.561	1	1	1	30.4573
31.601	1	1	1	29.8099
31.641	1	1	1	4.78169
31.681	1	1	1	50.1722
31.721	1	1	1	43.5625
31.761	1	1	1	17.2158
31.801	1	1	1	42.0941
31.841	1	1	1	13.7256
31.881	1	1	1	16.2066
31.921	1	1	1	14.2598
31.961	1	1	1	15.1989
32.001	1	1	1	29.5086
32.041	1	1	1	9.02182
32.081	1	1	1	46.3748
32.121	1	1	1	47.6082
32.161	1	1	1	4.36053
32.201	1	1	1	67.0083
32.241	1	1	1	47.012
32.281	1	1	1	8.14462
32.321	1	1	1	22.4485
32.361	1	1	1	20.8474
32.401	1	1	1	47.3293
32.441	1	1	1	21.9798
32.481	1	1	1	6.24469
32.521	1	1	1	9.51782
32.561	1	1	1	12.0126
32.601	1	1	1	6.32608
32.641	1	1	1	18.1409
32.681	1	1	1	20.7784
32.721	1	1	1	20.1755
32.761	1	1	1	41.2738
32.801	1	1	1	19.4186
32.841	1	1	1	20.4455
32.881	1	1	1	55.7236
32.921	1	1	1	15.5193
32.961	1	1	1	27.6887
33.001	1	1	1	9.85418
33.041	1	1	1	12.8201
33.081	1	1	1	45.5294
33.121	1	1	1	52.9938
33.161	1	1	1	16.4977
33.201	1	1	1	22.5892
33.241	1	1	1	8.86002
33.281	1	1	1	13.8341
33.321	1	1	1	29.9382
33.361	1	1	1	2.21356
33.401	1	1	1	59.4804
33.441	1	1	1	73.506
33.481	1	1	1	32.5685
33.521	1	1	1	10.5234
33.561	1	1	1	18.2907
33.601	1	1	1	46.6387
33.641	1	1	1	47.1219
33.681	1	1	1	47.6524
33.721	1	1	1	150.357
33.761	1	1	1	117.165
33.801	1	1	1	13.1773
33.841	1	1	1	10.7044
33.881	1	1	1	3.57995
33.921	1	1	1	19.8479
33.961	1	1	1	24.8412
34.001	1	1	1	10.1943
34.041	1	1	1	5.42157
34.081	1	1	1	14.8195
34.121	1	1	1	24.5623
34.161	1	1	1	4.46959
34.201	1	1	1	43.3363
34.241	1	1	1	17.7364
34.281	1	1	1	43.2468
34.321	1	1	1	103.987
34.361	1	1	1	14.1299
34.401	1	1	1	68.4794
34.441	1	1	1	89.3714
34.481	1	1	1	23.3508
34.521	1	1	1	37.8207
34.561	1	1	1	4.11903
34.601	1	1	1	28.0874
34.641	1	1	1	11.2184
34.681	1	1	1	36.9168
34.721	1	1	1	55.204
34.761	1	1	1	3.24962
34.801	1	1	1	57.4436
34.841	1	1	1	56.4347
34.881	1	1	1	8.05667
34.921	1	1	1	21.5636
34.961	1	1	1	19.0692
35.001	1	1	1	22.6511
35.041	1	1	1	10.5622
35.081	1	1	1	1.1413
